captured_at,page_url,item_id,item_title,item_price_text,item_price_numeric,breadcrumb_text,fee_category_detected,fee_bucket_detected,fee_rule_detected,fee_percent_estimate,ad_tech_resources,sync_identity_calls,ebay_ad_calls,criteo_calls,google_ad_calls,other_adtech_calls,recommendation_sections,sponsored_labels,item_links_below_pdp,sticky_ui_blocks,ad_iframes,backend_monetization_score,visible_monetization_score,complexity,label
2026-04-14T09:37:18.828Z,https://www.ebay.com/itm/116279981919?_skw=Food+truck&itmmeta=01KP5NK1ZZXN0TEN4MW3CPKR5R&hash=item1b12d3b75f:g:r40AAOSwxn9msRez&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xA6pLi7u5Q%2FAyz%2BOKO35P5M4DAuqZchUaSL3DhH7n4UStz7gVfHrWRYNlU0eTDm8KUPABeDLAgOQ86oonx5iGHXCnIDUd7AgWWCN%2FcBRbuBg0aavFzjN5Gkl9N29lEh2u8OGPCKTUeG%2B9sHFJWi6F03Fg4p26gUv%2BUj1HxxN2ogD1RapZaG8WE7CFS1aDzjw08IgiD5TMPeORXzEjun8HGEJwHFj6DBx8Tb1oFSguS4C2o7WhS4QCQfdKI5aDxlP1M%3D%7Ctkp%3ABk9SR6ygzLWxZw,1.16E+11,"Wilwood D154 Donk Rear Parking Brake Kit,1985-1988 Caprice,Impala,12.19"" Rotors","US $1,171.50or Best Offer",1171.5,"Hi! Sign in or register > Hi! Sign in or register > Sign in > or register > register > Deals > Deals > Brand Outlet > Brand Outlet > Gift Cards > Gift Cards > Help & Contact > Help & Contact > Sell > Sell > Watchlist > Watchlist > My eBay > My eBay > Summary > Recently Viewed > Bids/Offers > Watchlist > Purchase History > Buy Again > Selling > Saved Feed > Saved Searches > Saved Sellers > Payments > My Garage > Preferences > My Collection > Messages > PSA Vault > Notifications > Please sign in to view notifications. > sign in > Loading... > Business & Industrial > Business & Industrial > Restaurant & Food Service > Restaurant & Food Service > Food Trucks, Trailers & Carts > Food Trucks, Trailers & Carts > Food Trucks & Concession Trailers > Food Trucks & Concession Trailers",Business & Industrial,3% / 0.5%,"3% up to $15,000, then 0.5% over $15,000",3,24,20,1,3,20,0,11,0,3,0,2,54,28.3,9,high
2026-04-14T09:33:44.157Z,https://www.ebay.com/itm/116719533695?_skw=Blue-Eyes+White+Dragon&epid=11043772093&itmmeta=01KP5NC41SS5W7K8VH2NN7Y6BT&hash=item1b2d06be7f:g:mygAAeSwn6VokPSd&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDPt2EX2pBK0aACqtsLzfDR1LKNlYbEnNhZZmWFXAxwss3RPGHNJ7sx%2B53sWamSDbpMxquhpagiPtS%2B9UcO835iRKK0ZKQzHOiP1s8mBPUAvAr9KfRA9R0xaVuVES4ycrlS7qONGpR4c4JGqgyxPF4W0Xpr0Cf1VtmFsz9slIN0TMJ40LLbyo8SfQk1H09Ktlrtrt3y66wFt14%2FzrIhUcTnAskjcpt8SMZHG5VPTxs2GaMq6fjfqe2YaiqvHwwAupdusDd%2Fj1yI6RAMzUTpP4Zu88I6k9sXAxjXh%2FTu%2BrT2PQ%3D%3D%7Ctkp%3ABFBMksGwtbFn,1.17E+11,Blue-Eyes White Dragon (Version 4) LDK2-ENK01 Legendary Decks II PSA 10,US $149.99or Best Offer,149.99,Hi! Sign in or register > Hi! Sign in or register > Sign in > or register > register > Deals > Deals > Brand Outlet > Brand Outlet > Gift Cards > Gift Cards > Help & Contact > Help & Contact > Ship to > Sell > Sell > Watchlist > Watchlist > My eBay > My eBay > Summary > Recently Viewed > Bids/Offers > Watchlist > Purchase History > Buy Again > Selling > Saved Feed > Saved Searches > Saved Sellers > Payments > My Garage > Preferences > My Collection > Messages > PSA Vault > Notifications > Please sign in to view notifications. > sign in > Loading... > Toys & Hobbies > Toys & Hobbies > Collectible Card Games > Collectible Card Games > Single Cards > Single Cards > See more Blue-Eyes White Dragon (Version 1) LDK2-ENK01 ... > See more Blue-Eyes White Dragon (Version 1) LDK2-ENK01 ...,Collectibles,13.25% / 2.35%,"13.25% up to $7,500; 2.35% over $7,500",13.25,26,22,1,3,22,0,11,0,0,0,1,59,25,8,high
2026-04-14T09:44:29.603Z,https://www.ebay.com/itm/126020093348?_skw=Fender+Stratocaster&epid=28053412072&itmmeta=01KP5NNTB2CMC3QDS08M5YBZDA&hash=item1d576205a4:g:gWAAAeSw6IJpuhps&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAA9GRsev66%2FjftMBEcbM%2B8PJGTOAkWLtNZh0abjZLWEE%2FRQCEfjlJgWm3K2L188q8sQ5maOA3VAmL2QJWp9X2SHucNdBZMb6FqHgbAir90fHWB%2BNYKtTp5G2k50SgTMeBbdjokoPh3t3mRxOpE%2F%2B1LKD%2BCVoRFNrUBFqEbMEiixg27sCiOwXE%2BANdXAvVtlcVZJnHebbhoavHzudSa5uvg3ZyaNxlxJzK1OYY46gqN%2Fy9kqJtfT4SvjEUCfN01baU%3D%7Ctkp%3ABk9SR9yl17WxZw,1.26E+11,Fender Made in Japan Junior Collection Stratocaster Maple Arctic White,US $859.99,859.99,"Hi! Sign in or register > Hi! Sign in or register > Sign in > or register > register > Deals > Deals > Brand Outlet > Brand Outlet > Gift Cards > Gift Cards > Help & Contact > Help & Contact > Sell > Sell > Watchlist > Watchlist > My eBay > My eBay > Summary > Recently Viewed > Bids/Offers > Watchlist > Purchase History > Buy Again > Selling > Saved Feed > Saved Searches > Saved Sellers > Payments > My Garage > Preferences > My Collection > Messages > PSA Vault > Notifications > Please sign in to view notifications. > sign in > Loading... > Books, Movies & Music > Books, Movies & Music > Musical Instruments & Gear > Musical Instruments & Gear > Musical Instruments & Gear > Musical Instruments & Gear > Musical Instruments & Gear > Musical Instruments & Gear > Musical Instruments & Gear > Guitars & Basses > Guitars & Basses > Electric Guitars > Electric Guitars > See more Fender 5681100304 6 String Solid Electric Guit... > See more Fender 5681100304 6 String Solid Electric Guit...",Guitars & Basses,6.7% / 2.35%,"6.7% up to $7,500, then 2.35% over $7,500",6.7,24,20,1,3,20,0,30,0,4,0,2,54,66.4,6,mid-high
2026-04-14T09:36:53.494Z,https://www.ebay.com/itm/145628391790?_skw=Food+truck&itmmeta=01KP5NK1ZZBVG8FX7HXZNPH0CJ&hash=item21e820e96e:g:GS0AAOSw8FZl2Hk-&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xBN86TbwQD%2BtipNHxHztgQJQOGmnZn0EgCxqjG96pU1KwwGCK5nqQlaZ2DRNhAyw7KD4ykV6o%2BVqOZY%2BQWEa7s2wgWQPgf%2FCw%2F%2BP76a38CVhIAJsvNHY%2F8VjRtLow8frA46qecdHT2hpt37ZvR2YFk6syMFZlOdomdAoWzWF60cRkXR%2BQeKZzX2%2Bum1uz%2Fz7z6WhkpWEYd88fIZxOYTWCCDBPXzuwSiYrvttlMmP6gglfGPUUvfniXdMgEPwj2P%2BhU%2F3w8L6RG%2FNr7em2UGrKmbwXeJabzJRZikkI2PfoiHxw%3D%3D%7Ctkp%3ABk9SR6ygzLWxZw,1.46E+11,Kolice Gelato Hand Push cart/Snack Food cart/Street Food Vending Tricycle,"US $3,800.00/eaor Best Offer",3800,"Hi! Sign in or register > Hi! Sign in or register > Sign in > or register > register > Deals > Deals > Brand Outlet > Brand Outlet > Gift Cards > Gift Cards > Help & Contact > Help & Contact > Sell > Sell > Watchlist > Watchlist > My eBay > My eBay > Summary > Recently Viewed > Bids/Offers > Watchlist > Purchase History > Buy Again > Selling > Saved Feed > Saved Searches > Saved Sellers > Payments > My Garage > Preferences > My Collection > Messages > PSA Vault > Notifications > Please sign in to view notifications. > sign in > Loading... > Business & Industrial > Business & Industrial > Restaurant & Food Service > Restaurant & Food Service > Food Trucks, Trailers & Carts > Food Trucks, Trailers & Carts > Food Trucks & Concession Trailers > Food Trucks & Concession Trailers > Business & Industrial > Business & Industrial > Restaurant & Food Service > Restaurant & Food Service > Commercial Kitchen Equipment > Commercial Kitchen Equipment > Other Commercial Kitchen Equipment > Other Commercial Kitchen Equipment",Business & Industrial,3% / 0.5%,"3% up to $15,000, then 0.5% over $15,000",3,26,22,1,3,22,0,11,0,1,0,2,59,28.1,9,high
2026-04-14T09:26:51.649Z,https://www.ebay.com/itm/147149562965?_skw=Thinking%2C+Fast+and+Slow&epid=113308649&itmmeta=01KP5MZ9SG2SRCC9XRX4A9F8NV&hash=item2242cc2455:g:Fv4AAOxyHntSXwgS&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCI2XDctYcCCmR5KCJPM3rXsJDTT00IPOtRVLlbBIzvbVVrOkszidPzxg7gAF8jq8dIEnY8tRNBwiYmr0YMlDb%2Fi32igSHxTqdhbIpE%2FHkFHQq5Z%2FuFL%2FUX3X1MXVoNyo%2FtpaByXJZVsug3NjnswCiavplM3XabgHH1nAtERjLAodSURXNrHblbeFebfyTYY9XCPXaPqotcFPLR6bwwPyX1PvNpcr1NoYNbBJEvcoemGSNIOxCKTJ%2BHGyB6oecfT8IfBZWNwb8ZG5lBKPwLHJCdKppJqGVdqzmSsp5Fq7pZKQ%3D%3D%7Ctkp%3ABFBM9pz9tLFn,1.47E+11,"Thinking, Fast and Slow by Kahneman, Daniel by Kahneman, Daniel | PB | Acceptable",US $6.11,6.11,"Hi! Sign in or register > Hi! Sign in or register > Sign in > or register > register > Deals > Deals > Brand Outlet > Brand Outlet > Gift Cards > Gift Cards > Help & Contact > Help & Contact > Sell > Sell > Watchlist > Watchlist > My eBay > My eBay > Summary > Recently Viewed > Bids/Offers > Watchlist > Purchase History > Buy Again > Selling > Saved Feed > Saved Searches > Saved Sellers > Payments > My Garage > Preferences > My Collection > Messages > PSA Vault > Notifications > Please sign in to view notifications. > sign in > Loading... > Time to start shopping! > Books, Movies & Music > Books, Movies & Music > Books & Magazines > Books & Magazines > Books > Books > See more Thinking, Fast and Slow by Daniel Kahneman (20... > See more Thinking, Fast and Slow by Daniel Kahneman (20...",Books & Magazines,15.3% / 2.35%,"15.3% up to $7,500; 2.35% over $7,500",15.3,31,17,1,3,27,0,26,0,14,0,1,56.5,56.4,2,low
2026-04-14T09:32:04.538Z,https://www.ebay.com/itm/147245921769?_skw=Louis+Vuitton+Neverfull&epid=26051558971&itmmeta=01KP5N96JNZ7MA3H0D9AWXH4ZV&hash=item22488a75e9:g:BKcAAeSwaKxp1KqB&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xAjls6eBmN4JZGAA0VwV%2FuUtzKnn6JfxWTCtAKmiwkn0uJ66ipEeJ23NSjOECZy%2Bq2abj%2FgKH3IwuLtgCArAAH%2FWHCTDnOavAPo1iFJg5VRamGOqM%2FfoYKJeq%2BcR0Qqw%2F8yyDXU4nSryAyb7iQ%2BMqxaBR3uxk3hvcchyMB0ogo%2B3X9saX%2BHda4XUs62pe9Zkhlltrf5tf1h0MNFqid%2F7wBQHbpy6JIkUJQ7Bau%2FuGPvqYpl9IQs06VtTEIAgms%2FTNUNOhfzPzNlTfRPSOnZVKMoaBHawGST9qTJ5GnBhdIeIQ%3D%3D%7Ctkp%3ABFBMvumktbFn,1.47E+11,Auth LOUIS VUITTON Damier Azur Neverfull PM N51110 Ladies Tote Bag KC872,US $590.00or Best Offer,590,"Hi! Sign in or register > Hi! Sign in or register > Sign in > or register > register > Deals > Deals > Brand Outlet > Brand Outlet > Gift Cards > Gift Cards > Help & Contact > Help & Contact > Ship to > Sell > Sell > Watchlist > Watchlist > My eBay > My eBay > Summary > Recently Viewed > Bids/Offers > Watchlist > Purchase History > Buy Again > Selling > Saved Feed > Saved Searches > Saved Sellers > Payments > My Garage > Preferences > My Collection > Messages > PSA Vault > Notifications > Please sign in to view notifications. > sign in > Loading... > Clothing, Shoes & Accessories > Clothing, Shoes & Accessories > Women > Women > Women's Bags & Handbags > Women's Bags & Handbags > See more Louis Vuitton Neverfull Tote PM Brown Canvas > See more Louis Vuitton Neverfull Tote PM Brown Canvas",Women's Bags & Handbags,15% / 9%,"15% up to $2,000; 9% over $2,000",15,26,22,1,3,22,0,11,0,5,0,2,59,28.5,8,mid-high
2026-04-14T09:46:02.522Z,https://www.ebay.com/itm/157831158689?_skw=On+Cloudmonster&epid=3061581423&itmmeta=01KP5P2QYSJW2H5ZEK3HFRCKX5&hash=item24bf785ba1:g:cNMAAeSwYudp3TZJ&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xBEpQNMYANs2mhUucM8ne9uMAW58tcC4Rpn8GlzHw2Icx4OZVEUafv%2Blbl6gqLEi5Zx3f7nmHPZHvKk1M%2B87AMZTCstpaviJZ5NxzJ8mtPdad5sdhdeQJ5wYjblr7u4lVaxK40R9oUuRRr3DgzvC1VewINcwiNWRrPLaSU1jcBzpxztp2Znq%2F9lBFZzfYA8R5Cjl9VvKpGUJNI%2BNRkxocy%2BAorifHfLUvSV%2Fc5dXjUJlnK8baoWvBwcCQa0kEsqMB%2FmB7Zfyf0AHws8Ibzd4nC0fdU%2FuZw1%2BsA82yMuOxwhcg%3D%3D%7Ctkp%3ABFBMxv-KtrFn,1.58E+11,On Cloudmonster Running Shoes in All White - Women's Size US 7 - 61.98433,US $139.99or Best Offer,139.99,"Hi! Sign in or register > Hi! Sign in or register > Sign in > or register > register > Deals > Deals > Brand Outlet > Brand Outlet > Gift Cards > Gift Cards > Help & Contact > Help & Contact > Sell > Sell > Watchlist > Watchlist > My eBay > My eBay > Summary > Recently Viewed > Bids/Offers > Watchlist > Purchase History > Buy Again > Selling > Saved Feed > Saved Searches > Saved Sellers > Payments > My Garage > Preferences > My Collection > Messages > PSA Vault > Notifications > Please sign in to view notifications. > sign in > Loading... > Clothing, Shoes & Accessories > Clothing, Shoes & Accessories > Women > Women > Women > Women > Women > Women > Women > Women's Shoes > Women's Shoes > Athletic Shoes > Athletic Shoes > See more Size 7 - Cloudmonster White Black W > See more Size 7 - Cloudmonster White Black W",Athletic Shoes,13.60%,13.6% if total sale is under $150,13.6,36,22,1,3,32,0,25,0,6,0,1,69,53.6,4,low
2026-04-14T09:33:27.757Z,https://www.ebay.com/itm/177976049822?_skw=Blue-Eyes+White+Dragon&itmmeta=01KP5NC41S6PFCQS1XY5GMF5CS&hash=item297033009e:g:tf0AAeSwrIBpvOhB&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xBmK4d8Czz948tW8O0wvE7fp1eEnGe1E7SuAcAogEuqdzbQ1dqfMbJ9%2BBwl4GOYUIESY771GMTDb2kF06U2gFTmwecLYr6IXwu3duNNxSIyyEcDbpJKehHXOQ3cVCVfzCU6Jbv6mIwzl3jxJQRC6jrkE%2Fk4rguQ32m4pomu7eXJRSYKuBYm5a%2B%2FAiu9ZI4vHL3Id58vjgLnQIhGxlvkIDI6ni%2B9O2MGVpnWQaeP3CZk%2BNvUBja%2FEJ1lGgq9hdrDggBwhHTuDNcnfBdK9%2FAOyXppyQlzWZLRtnTVFsHFSh5ExQ%3D%3D%7Ctkp%3ABk9SR5LBsLWxZw,1.78E+11,"LOCR-JP001 - Yugioh - Japanese - Blue-Eyes White Dragon, the White Phan - Secret",US $6.00,6,Hi! Sign in or register > Hi! Sign in or register > Sign in > or register > register > Deals > Deals > Brand Outlet > Brand Outlet > Gift Cards > Gift Cards > Help & Contact > Help & Contact > Ship to > Sell > Sell > Watchlist > Watchlist > My eBay > My eBay > Summary > Recently Viewed > Bids/Offers > Watchlist > Purchase History > Buy Again > Selling > Saved Feed > Saved Searches > Saved Sellers > Payments > My Garage > Preferences > My Collection > Messages > PSA Vault > Notifications > Please sign in to view notifications. > sign in > Loading... > Toys & Hobbies > Toys & Hobbies > Collectible Card Games > Collectible Card Games > Single Cards > Single Cards,Collectibles,13.25% / 2.35%,"13.25% up to $7,500; 2.35% over $7,500",13.25,24,20,1,3,20,0,11,0,0,0,2,54,28,8,high
2026-04-14T09:35:20.275Z,https://www.ebay.com/itm/178032435026?_skw=Simple+gold+ring&itmmeta=01KP5NFCC0VJTF0FGKAZHY2F5M&hash=item29738f5f52:g:WIAAAeSwAllp1h3W&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xBsGcArrNaCVSOd9x4%2FGE8NcgyH0tcW2IVIkJte0Ubowu27h01zEI0JjwNfHqWSGjs%2B4OQYVBhJIpTwzP5NHCiqH3gdwoL5YyGF%2FX0M5bEWrQTmjKEkanWbGJXuDWalJMhgWHk3%2BotK4Lj6mB%2F4a7cxCabVxRfDVFa4O4%2FLBrpkVHoOnKTYy6I9jfyYfPbh2n6%2F3ouE5qGCg5%2FOlPCbtT1mDjxHuApshRNaU2xglPyCQNockrCjo0mGievC3Y7Dkwk%3D%7Ctkp%3ABk9SR6LGvbWxZw,1.78E+11,Minimalist Marquise Lab Created Emerald Women's Ring 14K Yellow Gold Plated Gift,US $79.99or Best Offer,79.99,Hi! Sign in or register > Hi! Sign in or register > Sign in > or register > register > Deals > Deals > Brand Outlet > Brand Outlet > Gift Cards > Gift Cards > Help & Contact > Help & Contact > Sell > Sell > Watchlist > Watchlist > My eBay > My eBay > Summary > Recently Viewed > Bids/Offers > Watchlist > Purchase History > Buy Again > Selling > Saved Feed > Saved Searches > Saved Sellers > Payments > My Garage > Preferences > My Collection > Messages > PSA Vault > Notifications > Please sign in to view notifications. > sign in > Loading... > Jewelry & Watches > Jewelry & Watches > Fine Jewelry > Fine Jewelry > Rings > Rings,Jewelry,15% / 6.5 %,"15% up to $1,000, 6.5% up to $7,500",15,26,22,1,3,22,0,21,0,10,0,2,59,49,5,mid-low
2026-04-14T09:24:23.712Z,https://www.ebay.com/itm/188262816234?_skw=Xiaomi+Poco+X5&itmmeta=01KP5MHPE7MVJKMGHHVP1ZGZKV&hash=item2bd55699ea:g:Ao0AAeSwLGBp2Nde&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xDk2yUfdINf1kGFGqglL1FnMjXj3PntqscGe05C2nGCQDbuOmWBzfrSeLCXiI%2B3IkkG6hvfqTOPeLmcWhyi6Zkdc7mCkJhY%2BPHv1%2BlYuQ%2BPVY4M%2BEv0hbIwEeqSYi3K0xhoOykot3Df%2FV%2Bm17Z%2BhqudsHmtDy%2BzfH4bJ1l9gJ2rZnaBOfI4PWwMjMGM72skrtlVzkG9TErHLszPnGA1tWix3mPo8ZPsZ3DJx0ODGt6bq0OZwf5fezmzEg3fDJaNDPk%3D%7Ctkp%3ABk9SR6bnxrSxZw,1.88E+11,"POCO X5 Pro 5G (Horizon Blue, 256 GB) (8 GB RAM)",US $250.00,250,Hi! Sign in or register > Hi! Sign in or register > Sign in > or register > register > Deals > Deals > Brand Outlet > Brand Outlet > Gift Cards > Gift Cards > Help & Contact > Help & Contact > Sell > Sell > Watchlist > Watchlist > My eBay > My eBay > Summary > Recently Viewed > Bids/Offers > Watchlist > Purchase History > Buy Again > Selling > Saved Feed > Saved Searches > Saved Sellers > Payments > My Garage > Preferences > My Collection > Messages > PSA Vault > Notifications > Please sign in to view notifications. > sign in > Loading... > Electronics > Electronics > Cell Phones & Accessories > Cell Phones & Accessories > Cell Phones & Smartphones > Cell Phones & Smartphones,Most categories,13.6% / 2.35%,"13.6% up to $7,500; 2.35% over $7,500",13.6,26,22,1,3,22,0,11,0,3,0,2,59,28.3,3,mid-low
2026-04-14T09:23:22.078Z,https://www.ebay.com/itm/195604170626?_skw=Xiaomi+Poco+X5&itmmeta=01KP5MHPE6D3J9N12C0NA7WYZB&hash=item2d8aeac782:g:R~QAAOSwehJj7ntm&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDO%2BybOEped1GXxclx8O8pUP%2FscAIcqIHlZ%2FxBt6jI3H8YIYjvCPee8--NJouwtCYtDhQ3s3cyFkPN7Ovu9xCNMjrwBP4W0NXSoPAB9uv%2BdN1TK6N9waUa3rMxjNm%2BujEReRRCuXFVHIB5xzsvzy4509RqpLcQDaFkJjDBfmAgMxUUyOw%2FQuFPHc5ojlWaZzOcHIgIKcmsfvirKsVrSRKpf0bynU8bh3aayX96tY8MqIhSTwygSWSuyn03%2BPrQrAOO5N0j4BDagYExv7aS%2FDtRdtR0jX94TIJB%2Bci5b%2F1FH%2BQ%3D%3D%7Ctkp%3ABk9SR6TnxrSxZw,1.96E+11,"Xiaomi Poco X5 128GB 6GB RAM (FACTORY UNLOCKED) 6.67"" 48MP (Global) ✤ in Stock ✤ Ship Worldwide ✤ USA Seller ✤ Top Rated",US $199.99,199.99,Hi! Sign in or register > Hi! Sign in or register > Sign in > or register > register > Deals > Deals > Brand Outlet > Brand Outlet > Gift Cards > Gift Cards > Help & Contact > Help & Contact > Sell > Sell > Watchlist > Watchlist > My eBay > My eBay > Summary > Recently Viewed > Bids/Offers > Watchlist > Purchase History > Buy Again > Selling > Saved Feed > Saved Searches > Saved Sellers > Payments > My Garage > Preferences > My Collection > Messages > PSA Vault > Notifications > Please sign in to view notifications. > sign in > Loading... > Electronics > Electronics > Cell Phones & Accessories > Cell Phones & Accessories > Cell Phones & Smartphones > Cell Phones & Smartphones,Most categories,13.6% / 2.35%,"13.6% up to $7,500; 2.35% over $7,500",13.6,24,20,1,3,20,0,29,0,15,0,2,54,65.5,3,mid-low
2026-04-14T09:37:32.428Z,https://www.ebay.com/itm/204926336219?_skw=Food+truck&itmmeta=01KP5NK2001BGE7G2HN8VZ5JA9&hash=item2fb68fbcdb:g:sRIAAOSwtmVmsmsg&itmprp=enc%3AAQALAAAAwGfYFPkwiKCW4ZNSs2u11xA0GcvxRk6XOUgAPc%2FPsWgLdz6vPr0SJ%2FyS%2BIQx6KcFnYrKlwQSiv5ASEvlnl3dIpB%2BXtHFRs7q4bGL%2BPLsm3CbmQac4QLB%2FdUTGJtkMjd2NiiVS7RmjkmsAoYe5b1wO5gzwldky9031KZsgmFA2BrYw1ColB2oWzbk%2FUwWkvjGJo2VhCTpCuSCknmOUvWKW1vJFvlIIhlO2R7BtggkGILc7T2hYW0aGRWgkdsq8Huptg%3D%3D%7Ctkp%3ABlBMUK6gzLWxZw,2.05E+11,NEW 8.5 X 25 CONCESSION FOOD TRAILER W/ 12' SMOKER PORCH DECK BBQ CALIFORNIA HEALTH DEPARTMENT REQUIRED CODES.,"US $29,650.00or Best Offer",29650,"Hi! Sign in or register > Hi! Sign in or register > Sign in > or register > register > Deals > Deals > Brand Outlet > Brand Outlet > Gift Cards > Gift Cards > Help & Contact > Help & Contact > Sell > Sell > Watchlist > Watchlist > My eBay > My eBay > Summary > Recently Viewed > Bids/Offers > Watchlist > Purchase History > Buy Again > Selling > Saved Feed > Saved Searches > Saved Sellers > Payments > My Garage > Preferences > My Collection > Messages > PSA Vault > Notifications > Please sign in to view notifications. > sign in > Loading... > Business & Industrial > Business & Industrial > Restaurant & Food Service > Restaurant & Food Service > Food Trucks, Trailers & Carts > Food Trucks, Trailers & Carts > Food Trucks & Concession Trailers > Food Trucks & Concession Trailers",Business & Industrial,3% / 0.5%,"3% up to $15,000, then 0.5% over $15,000",0.5,21,19,1,3,17,0,11,0,0,0,2,49.5,28,9,high
2026-04-14T09:24:45.413Z,https://www.ebay.com/itm/226845821258?_skw=Xiaomi+Poco+X5&itmmeta=01KP5MHPE68DNXRBQHS19D6ZGC&hash=item34d110894a:g:69cAAeSwT8VoZZ1l&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAM%2FHlkDRXJeY5kUbmPLsyZWhSbzY2tvQBTdb%2Bfv8u2M%2BHa%2FbL7Wrt5Z%2BgoOT24Qtv6mdkemo2AS9AAOXJeFJq83pFLOxpPQjywdGBK7hQUqKHVhXBPi7c0zhSeIoWPJny49UL2%2B9A6ejciuUwQhRlvThfI3kFkVHUHJGrdIVd62LSkHsKXhrJNgkDeTjuujs3O4ayYypRi4qjPZwrv8gOV7p9aFa6qAhyOOrBxkQS1YEgJRwt9BX8hyAr0ROy0C6M%3D%7Ctkp%3ABk9SR6TnxrSxZw,2.27E+11,"USED - Xiaomi Poco X5 Pro 256GB 8GB RAM (FACTORY UNLOCKED) 6.67"" 108MP (Global) ✤ in Stock ✤ Ship Worldwide ✤ USA Seller ✤ Top Rated",US $199.99,199.99,Hi! Sign in or register > Hi! Sign in or register > Sign in > or register > register > Deals > Deals > Brand Outlet > Brand Outlet > Gift Cards > Gift Cards > Help & Contact > Help & Contact > Sell > Sell > Watchlist > Watchlist > My eBay > My eBay > Summary > Recently Viewed > Bids/Offers > Watchlist > Purchase History > Buy Again > Selling > Saved Feed > Saved Searches > Saved Sellers > Payments > My Garage > Preferences > My Collection > Messages > PSA Vault > Notifications > Please sign in to view notifications. > sign in > Loading... > Electronics > Electronics > Cell Phones & Accessories > Cell Phones & Accessories > Cell Phones & Smartphones > Cell Phones & Smartphones,Most categories,13.6% / 2.35%,"13.6% up to $7,500; 2.35% over $7,500",13.6,26,22,1,3,22,0,29,0,5,0,1,59,61.5,3,mid-low
